created_day,live_utxos,live_ada
2026-06-22,2,3.3302310000000000
2026-06-23,2224,8863.0069760000000000
2026-06-24,900,1744858.203573000000
2026-06-25,235,189443.153162000000
2026-06-26,2,3.7677010000000000
2026-06-27,32,53.0156750000000000
2026-06-28,11,2996.1285900000000000
2026-06-30,1,8.8352330000000000
2026-07-01,1,1200.0000000000000000
